Date,Region,Category,Sales,Profit,Customer_Rating,Returned
2025-01-01,East,Books,2491.0,907.99,3.5,Yes
2025-01-02,West,Electronics,4781.0,2144.37,3.0,No
2025-01-03,North,Books,8754.0,471.06,2.9,Yes
2025-01-04,East,Books,8480.0,1815.94,4.9,No
2025-01-05,East,Books,2836.0,,4.7,No
2025-01-06,West,Grocery,4896.0,846.8,3.6,No
2025-01-07,North,Grocery,1898.0,1136.49,4.9,No
2025-01-08,North,Grocery,5937.0,752.09,4.3,No
2025-01-09,East,Electronics,,1587.06,3.9,No
2025-01-10,South,Books,9364.0,341.75,3.9,Yes
2025-01-11,East,Grocery,7055.0,162.18,3.0,No
2025-01-12,East,Grocery,8592.0,1625.55,3.0,No
2025-01-13,East,Electronics,7728.0,606.54,4.1,No
2025-01-14,East,Grocery,6449.0,316.71,4.0,No
2025-01-15,West,Electronics,6372.0,1082.44,3.3,No
2025-01-16,North,Fashion,2907.0,269.31,4.9,No
2025-01-17,West,Grocery,6991.0,2233.55,4.5,No
2025-01-18,West,Fashion,6735.0,,3.0,No
2025-01-19,West,Electronics,6131.0,1510.33,4.8,No
2025-01-20,East,Books,4710.0,1180.41,4.9,No
2025-01-21,South,Grocery,1402.0,1729.26,5.0,No
2025-01-22,North,Electronics,5418.0,921.16,2.9,No
2025-01-23,South,Books,5589.0,514.35,4.4,No
2025-01-24,West,Books,3527.0,2457.33,4.0,Yes
2025-01-25,West,Fashion,9204.0,2121.49,4.4,No
2025-01-26,South,Electronics,4131.0,2171.95,4.9,No
2025-01-27,South,Books,8977.0,738.09,4.3,No
2025-01-28,South,Grocery,1397.0,241.26,4.6,No
2025-01-29,West,Grocery,8325.0,862.67,4.7,No
2025-01-30,West,Fashion,,1412.14,4.6,No
2025-01-31,North,Books,7487.0,917.63,3.7,No
2025-02-01,North,Electronics,5482.0,2095.49,3.3,No
2025-02-02,West,Grocery,3711.0,,3.7,No
2025-02-03,South,Books,1859.0,2418.34,4.8,No
2025-02-04,South,Books,4011.0,1224.57,3.1,No
2025-02-05,North,Fashion,8298.0,2128.75,3.9,Yes
2025-02-06,West,Grocery,7746.0,606.79,3.3,Yes
2025-02-07,North,Grocery,3186.0,1116.68,4.1,No
2025-02-08,North,Electronics,4111.0,1793.85,4.7,No
2025-02-09,East,Grocery,2934.0,475.13,4.7,No
2025-02-10,East,Electronics,3043.0,461.95,3.3,No
2025-02-11,East,Grocery,4176.0,2428.41,4.8,No
2025-02-12,South,Fashion,3159.0,1829.3,4.1,No
2025-02-13,West,Grocery,6959.0,246.51,3.6,No
2025-02-14,West,Electronics,7894.0,1087.23,4.4,No
2025-02-15,West,Electronics,3585.0,1168.77,3.9,No
2025-02-16,West,Fashion,5936.0,1898.5,3.6,No
2025-02-17,East,Grocery,3002.0,739.52,4.4,No
2025-02-18,South,Grocery,9355.0,583.18,3.3,No
2025-02-19,South,Fashion,9320.0,340.05,3.5,No
2025-02-20,East,Grocery,7816.0,1156.54,3.8,No
2025-02-21,South,Grocery,6734.0,1767.97,3.4,No
2025-02-22,East,Electronics,5261.0,286.75,3.7,No
2025-02-23,West,Grocery,1462.0,2300.75,4.1,No
2025-02-24,East,Grocery,7487.0,1189.53,4.4,No
